,Holder,Shares,Date Reported,% Out,Value,Target
5,Bank of America Corporation,6667831.0,2022-09-29,0.0301,2076429276.0,APD
6,"Franklin Resources, Inc.",4933829.0,2022-09-29,0.0222,1536443706.0,APD
7,Morgan Stanley,4298279.0,2022-09-29,0.0194,1338527079.0,APD
8,Wells Fargo & Company,4085225.0,2022-09-29,0.0184,1272179932.0,APD
9,"Geode Capital Management, LLC",4074073.0,2022-09-29,0.0184,1268707087.0,APD
0,"Vanguard Group, Inc. (The)",17872231.0,2022-06-29,0.1124,1632270857.0,AKAM
1,Blackrock Inc.,14413276.0,2022-06-29,0.0907,1316364497.0,AKAM
2,Canada Pension Plan Investment Board,7377449.0,2022-06-29,0.0464,673782417.0,AKAM
3,State Street Corporation,6776994.0,2022-06-29,0.0426,618942862.0,AKAM
4,Nordea Investment Management AB,5218367.0,2022-09-29,0.032799999999999996,419139237.0,AKAM
5,Ubs Asset Management Americas Inc,3936721.0,2022-06-29,0.0248,359540728.0,AKAM
6,First Trust Advisors LP,3675737.0,2022-06-29,0.0231,335705060.0,AKAM
7,Bank of America Corporation,3512444.0,2022-06-29,0.022099999999999998,320791510.0,AKAM
8,"Geode Capital Management, LLC",3431539.0,2022-06-29,0.0216,313402456.0,AKAM
9,"AllianceBernstein, L.P.",3311134.0,2022-06-29,0.0208,302405868.0,AKAM
0,"Vanguard Group, Inc. (The)",14073664.0,2022-06-29,0.1116,563650243.0,ALK
1,Blackrock Inc.,7162424.0,2022-06-29,0.056799999999999996,286855081.0,ALK
2,Victory Capital Management Inc.,6219448.0,2022-06-29,0.0493,249088892.0,ALK
3,Primecap Management Company,4528037.0,2022-06-29,0.0359,181347881.0,ALK
4,State Street Corporation,4148275.0,2022-06-29,0.0329,166138413.0,ALK
5,Boston Partners,3132399.0,2022-06-29,0.0248,125452579.0,ALK
6,Morgan Stanley,2824467.0,2022-06-29,0.022400000000000003,113119903.0,ALK
7,"Geode Capital Management, LLC",2504867.0,2022-06-29,0.0199,100319923.0,ALK
8,Invesco Ltd.,2394092.0,2022-06-29,0.019,95883384.0,ALK
9,Dimensional Fund Advisors LP,2031970.0,2022-06-29,0.0161,81380398.0,ALK
0,"Vanguard Group, Inc. (The)",13775364.0,2022-06-29,0.1176,2878775568.0,ALB
1,Blackrock Inc.,9291646.0,2022-06-29,0.0793,1941768181.0,ALB
2,State Street Corporation,5300668.0,2022-06-29,0.0453,1107733598.0,ALB
3,"Franklin Resources, Inc.",3842719.0,2022-06-29,0.032799999999999996,803051416.0,ALB
4,Capital International Investors,3322014.0,2022-06-29,0.028399999999999998,694234485.0,ALB
5,Baillie Gifford and Company,3215017.0,2022-09-29,0.0274,850179095.0,ALB
6,Capital Research Global Investors,2565241.0,2022-06-29,0.0219,536084064.0,ALB
7,Primecap Management Company,2549320.0,2022-06-29,0.0218,532756893.0,ALB
