Source,Target,Weight
"Geode Capital Management, LLC",AAL,165610424
"Renaissance Technologies, LLC",AAL,100784444
"Two Sigma Advisers, LP",AAL,92683192
Invesco Ltd.,AAL,87391003
Nuveen Asset Management,AAL,66731517
"Vanguard Group, Inc. (The)",AEP,4492722932
Blackrock Inc.,AEP,4063136519
State Street Corporation,AEP,2792380422
"Wellington Management Group, LLP",AEP,1832657680
"Ameriprise Financial, Inc.",AEP,1164533631
Morgan Stanley,AEP,1016102458
Massachusetts Financial Services Co.,AEP,948730224
"Geode Capital Management, LLC",AEP,943950973
Price (T.Rowe) Associates Inc,AEP,919718736
Invesco Ltd.,AEP,847992169
"Berkshire Hathaway, Inc",AXP,21016275234
"Vanguard Group, Inc. (The)",AXP,6503752228
Blackrock Inc.,AXP,6083727390
State Street Corporation,AXP,4391487976
"Wellington Management Group, LLP",AXP,3310356773
JP Morgan Chase & Company,AXP,2155056523
"Fisher Asset Management, LLC",AXP,2128540457
Massachusetts Financial Services Co.,AXP,1820759422
Morgan Stanley,AXP,1763294223
Bank of America Corporation,AXP,1429846170
"Vanguard Group, Inc. (The)",AIG,4038442767
Blackrock Inc.,AIG,3427705961
Price (T.Rowe) Associates Inc,AIG,2179485122
State Street Corporation,AIG,1783549792
Capital Research Global Investors,AIG,1612067748
Harris Associates L.P.,AIG,1330773752
"FMR, LLC",AIG,1051376833
Invesco Ltd.,AIG,931005155
Diamond Hill Capital Management Inc,AIG,841280237
"Hotchkis & Wiley Capital Management, LLC",AIG,787347853
"Vanguard Group, Inc. (The)",AMT,15415593407
Blackrock Inc.,AMT,9169317064
State Street Corporation,AMT,5456895828
Cohen & Steers Inc.,AMT,4362719128
"Wellington Management Group, LLP",AMT,2997402587
"Geode Capital Management, LLC",AMT,2626805011
"FMR, LLC",AMT,2384421601
"Akre Capital Management, LLC",AMT,1782276865
Goldman Sachs Group Inc,AMT,1632922848
Edgewood Management Company,AMT,1616756270
"Vanguard Group, Inc. (The)",AWK,3321613080
Blackrock Inc.,AWK,2435357163
State Street Corporation,AWK,1566001667
Pictet Asset Management SA,AWK,1058185686
Impax Asset Management Group Plc,AWK,729880050
Deutsche Bank Aktiengesellschaft,AWK,641906845
"Geode Capital Management, LLC",AWK,528724414
Northern Trust Corporation,AWK,529555146
Invesco Ltd.,AWK,470597000
Bank of America Corporation,AWK,419613223
"Vanguard Group, Inc. (The)",AMP,3289725552
Blackrock Inc.,AMP,2127467500
State Street Corporation,AMP,1195885256
"Aristotle Capital Management, LLC",AMP,1056024361
JP Morgan Chase & Company,AMP,728762532
Bank Of New York Mellon Corporation,AMP,594834367
"Geode Capital Management, LLC",AMP,563424480
Boston Partners,AMP,549557754
